,pitcher,season,Age,Throws,Surgery,BB_release_speed_weighted_avg,FB_release_speed_weighted_avg,OS_release_speed_weighted_avg,OT_release_speed_weighted_avg,SB_release_speed_weighted_avg,BB_release_pos_x_weighted_avg,FB_release_pos_x_weighted_avg,OS_release_pos_x_weighted_avg,OT_release_pos_x_weighted_avg,SB_release_pos_x_weighted_avg,BB_release_pos_y_weighted_avg,FB_release_pos_y_weighted_avg,OS_release_pos_y_weighted_avg,OT_release_pos_y_weighted_avg,SB_release_pos_y_weighted_avg,BB_release_pos_z_weighted_avg,FB_release_pos_z_weighted_avg,OS_release_pos_z_weighted_avg,OT_release_pos_z_weighted_avg,SB_release_pos_z_weighted_avg,BB_vx0_weighted_avg,FB_vx0_weighted_avg,OS_vx0_weighted_avg,OT_vx0_weighted_avg,SB_vx0_weighted_avg,BB_vy0_weighted_avg,FB_vy0_weighted_avg,OS_vy0_weighted_avg,OT_vy0_weighted_avg,SB_vy0_weighted_avg,BB_vz0_weighted_avg,FB_vz0_weighted_avg,OS_vz0_weighted_avg,OT_vz0_weighted_avg,SB_vz0_weighted_avg
0,110683,2008,37.0,1,0.0,75.4258426966292,91.68984987758573,81.4582650273224,50.6,86.82781289506954,-2.1719101123595506,-2.014089443051707,-1.9295696721311475,-1.39,-2.191820480404551,54.5,54.5,54.5,54.5,54.5,6.275505617977528,5.947658735394584,6.100355191256831,7.635,6.122389380530973,3.901072468933138,6.148831392952552,4.555350630783403,-0.4333959935522373,4.112723880248101,-110.62778902095422,-134.3529899153189,-119.31761819097558,-73.71483345538483,-127.25726920756728,-1.24645837139879,-4.126779138558523,-0.7802225360129849,7.335296269322351,-3.339928912350374
1,110683,2009,38.0,1,0.0,78.18181818181819,93.47986935202185,85.01219512195122,53.5,87.9198250728863,-2.4527272727272726,-2.212920827549147,-2.2185365853658534,-2.34,-2.4098833819241983,54.5,54.5,54.5,54.5,54.5,5.734090909090909,5.607405848372218,5.706829268292683,7.13,5.740612244897959,4.520883602518704,7.356212935389708,5.855133457496384,-6.899019595663561,5.066858034687216,-114.57019622016642,-136.92615081597157,-124.55114850886132,-78.11973589305074,-128.8040603409951,-0.2540668404548791,-3.4234039435714507,-1.2722441312822632,4.971029828004162,-2.492202476556781
2,110683,2010,39.0,1,0.0,74.66666666666667,93.00161737357843,84.025,58.23846153846154,87.05286041189932,-1.7300000000000002,-1.6221278878477934,-1.2569642857142858,-1.419230769230769,-1.9049656750572084,54.5,54.5,54.5,54.5,54.5,6.416666666666667,5.726774014734282,5.826071428571429,6.918461538461538,5.860228832951945,1.452707481840792,5.5993619641463575,7.771205793260018,1.7229139239910145,3.695893868376809,-109.67648380213208,-136.2760752812208,-122.89156287271719,-84.907173178751,-127.5055745027449,1.3827514998923842,-3.9540900909912224,-1.0651727140679486,5.705494743333087,-3.1860560453872973
3,110683,2011,40.0,1,0.0,76.88571428571429,91.67850619668896,83.846875,52.59444444444445,86.53807531380752,-1.6057142857142856,-1.5213324705233007,-1.2915625,-1.6211111111111112,-1.7610041841004185,54.5,54.5,54.5,54.5,54.5,5.911428571428572,5.728642533362517,5.8828125,6.832222222222222,5.753305439330544,2.2690824786126567,4.765427742158771,8.2249589441882,-2.265764253498664,3.0456931778402376,-112.6072610775556,-134.3957906886983,-122.48696345691593,-76.7612051415216,-126.7755408237981,-2.271918224215488,-3.157703727939744,-1.4721480734769898,7.108895011641462,-2.3030281681885167
4,110683,2012,41.0,1,0.0,76.42727272727274,91.9655915232566,83.0015625,50.375,85.65774193548387,-1.3663636363636362,-1.2482930748496788,-1.18734375,-1.755,-1.4825483870967742,54.5,54.5,54.5,54.5,54.5,6.016363636363637,5.902101518764255,6.0121875,6.9925,6.006064516129032,1.947997541032945,3.833375162174162,2.629901711914901,-4.418469576228882,2.5130319257956764,-112.08383967612576,-134.74859436897486,-121.54806767769982,-73.52854817221325,-125.46323740453585,-0.468343830383426,-4.148173793247971,-3.095359822523281,7.101314016919368,-2.684631941140248
5,111492,2008,41.0,1,1.0,77.83333333333333,91.13242863733602,86.86521739130436,67.32857142857144,0.0,-2.3365591397849466,-2.4462500766145863,-2.746304347826087,-2.4292857142857143,0.0,54.5,54.5,54.5,54.5,0.0,6.9,6.727272026670831,6.667608695652175,7.475714285714285,0.0,4.027400629833491,7.0869699280034455,7.738773792776329,0.135386583042867,0.0,-114.2219181082826,-133.40152252840227,-127.06693910306176,-98.62093756803633,0.0,0.4559725954376061,-5.850519220392182,-5.589054804383734,1.2753843971453718,0.0
6,111492,2009,42.0,1,1.0,76.27560975609755,88.60405470995534,80.84375,0.0,0.0,-2.158292682926829,-2.282607671831274,-2.371875,0.0,0.0,54.5,54.5,54.5,0.0,0.0,6.933658536585365,6.738376153694477,6.696875,0.0,0.0,3.6464311929864697,5.9138383451901015,6.409383693789424,0.0,0.0,-111.82296784695228,-129.65468460516774,-118.31266194750982,0.0,0.0,0.1477772362488775,-5.618958459418649,-3.577161634856767,0.0,0.0
7,111838,2008,37.0,1,1.0,74.86551724137931,85.38935169182317,79.2,0.0,80.47879858657244,-1.8926600985221675,-2.2127998425317816,-1.788873786407767,0.0,-2.112473498233216,54.5,54.5,54.5,0.0,54.5,6.103448275862069,5.369217133310289,5.647922330097087,0.0,5.476466431095406,1.073044297262417,6.336062150048741,5.646586783057923,0.0,4.369666434418565,-109.90499006477296,-125.10346616291821,-116.05283865352978,0.0,-117.96521322326936,1.0400620445471034,-0.47901312809457774,-1.0066816898986106,0.0,-0.1198553007255131
8,111838,2009,38.0,1,1.0,75.52571428571427,86.78676470588235,80.19019607843138,0.0,80.7562091503268,-2.076571428571429,-2.185106736242884,-1.877549019607843,0.0,-2.3141176470588234,54.5,54.5,54.5,0.0,54.5,5.840571428571429,5.183948055028463,5.298529411764706,0.0,5.323071895424837,1.6872250090751693,6.238994198485865,6.040711481736061,0.0,5.134087498731043,-110.95113529496894,-127.25296700735997,-117.53001464716937,0.0,-118.40721167982664,1.4543907176209874,-0.9911814789187182,-0.957927698920188,0.0,0.5019769757624253
9,112020,2008,33.0,1,1.0,74.82962962962962,90.60044778384942,84.84545454545454,0.0,0.0,-2.1062962962962963,-2.2211695506982387,-2.2263636363636365,0.0,0.0,54.5,54.5,54.5,0.0,0.0,6.2625925925925925,6.074427747419551,6.060909090909092,0.0,0.0,2.821151389212316,7.667004235313412,5.947499709697061,0.0,0.0,-109.84978798096208,-132.57489267960437,-124.23011300946368,0.0,0.0,1.874430166907639,-4.141779559538525,-4.130384064228953,0.0,0.0
