,pitcher,player_name,season,season_total_pitches,pitch_type,season_total_count_by_pitch_type,count_by_pitch_type,release_speed_weighted_avg,release_pos_x_weighted_avg,release_pos_z_weighted_avg,vx0_weighted_avg,vy0_weighted_avg,vz0_weighted_avg,ax_weighted_avg,ay_weighted_avg,az_weighted_avg,release_pos_y_weighted_avg,Name,Age
0,112526,"colon, bartolo",2017,9440,CH,222,222,81.25135135135135,-1.5365765765765766,5.527882882882883,4.7252242740623975,-117.85016935685488,-3.2270568121960004,-11.585813938727552,22.07880066701505,-24.595902323377178,55.15837837837838,bartolo colon,44.0
1,112526,"colon, bartolo",2017,9440,FC,7,7,86.61428571428571,-1.5971428571428572,5.680000000000001,4.9017441670842885,-125.50429190725058,-4.632347954990185,-1.2784028616056582,25.673229659484072,-16.198152704301187,55.22714285714286,bartolo colon,44.0
2,112526,"colon, bartolo",2017,9440,FF,450,450,90.28177777777779,-1.1860000000000002,5.773955555555555,4.087599764642574,-130.88508347943164,-4.594771788099254,-8.723897396692402,27.398956392094156,-14.663100493221343,55.261488888888884,bartolo colon,44.0
3,112526,"colon, bartolo",2017,9440,SI,1435,1435,87.06278745644599,-1.5266759581881535,5.512508710801393,6.434277252737743,-126.19425112993267,-2.7479812979814664,-15.602020659433293,25.226547278774987,-22.762350763867133,55.23275261324042,bartolo colon,44.0
4,112526,"colon, bartolo",2017,9440,SL,166,166,81.51325301204818,-1.6193975903614457,5.546807228915663,5.398850279981594,-118.24400131845776,-2.2367911473859663,1.1039593491547357,20.8152753845816,-27.593265245542284,55.53987951807228,bartolo colon,44.0
5,276520,"arroyo, bronson",2017,6882,CH,111,111,75.72882882882882,-2.337747747747748,5.9686486486486485,5.626777751448578,-109.79482843415116,-2.0791176180446165,-8.390282874625669,18.815430239152384,-26.320110404627624,55.15126126126126,bronson arroyo,40.0
6,276520,"arroyo, bronson",2017,6882,CU,322,322,71.8139751552795,-2.2256832298136646,5.976552795031056,2.6935034948746925,-104.1616644514864,-0.7723033460437819,7.495479846716468,17.825600456390855,-27.77418059535157,55.4117701863354,bronson arroyo,40.0
7,276520,"arroyo, bronson",2017,6882,FC,86,86,84.36744186046512,-1.7598837209302325,6.28732558139535,6.873984344798163,-122.33038100921813,-4.8626744603048175,-6.497230405838706,22.690965344133144,-17.221558897870175,54.649883720930234,bronson arroyo,40.0
8,276520,"arroyo, bronson",2017,6882,FF,270,270,84.37925925925927,-1.829962962962963,6.2340740740740745,5.7724308421880215,-122.38457191483812,-4.738634736432922,-12.320255767102987,23.405407511235612,-20.82799046706481,54.68262962962963,bronson arroyo,40.0
9,276520,"arroyo, bronson",2017,6882,SI,120,120,83.44250000000001,-2.4066666666666667,5.693250000000001,6.833556955608589,-121.03285673003627,-2.73033593838271,-13.693866398070863,22.561325613449352,-27.788447227594194,54.76883333333333,bronson arroyo,40.0
10,276520,"arroyo, bronson",2017,6882,SL,238,238,72.94663865546218,-3.037310924369748,5.046932773109244,4.913192015445559,-105.70288259786989,0.13232276683244062,3.306838116172406,17.8598587859274,-23.5455809228921,55.41584033613445,bronson arroyo,40.0
11,276542,"benoit, joaquin",2017,2859,CH,240,240,84.475,-2.9751666666666665,6.0535,8.038761028810562,-122.42277867710992,-5.094831288840701,-12.775591269670619,23.707900375124083,-24.990615869782538,54.58141666666667,joaquin benoit,
12,276542,"benoit, joaquin",2017,2859,CU,1,1,83.7,-3.08,5.84,4.25230516065093,-121.661631985284,-3.75063039642442,-11.5334481026993,24.2341741845722,-30.4451025745116,54.07,joaquin benoit,
13,276542,"benoit, joaquin",2017,2859,FF,423,423,94.76004728132388,-2.8144917257683213,6.236737588652482,8.863950523732182,-137.24560677950757,-5.747512577714494,-12.092874147253866,31.14382048300349,-12.333297169455406,54.44860520094562,joaquin benoit,
