,pitcher,player_name,season,season_total_pitches,pitch_type,season_total_count_by_pitch_type,count_by_pitch_type,release_speed_weighted_avg,release_pos_x_weighted_avg,release_pos_z_weighted_avg,vx0_weighted_avg,vy0_weighted_avg,vz0_weighted_avg,ax_weighted_avg,ay_weighted_avg,az_weighted_avg,release_pos_y_weighted_avg,Name,Age
0,110683,"batista, miguel",2008,10287,CH,183,183,82.6415300546448,-2.031639344262295,6.010710382513661,5.030588885324473,-121.08690967622084,-3.2367645239228153,-7.208295081967213,25.458300546448086,-22.84146994535519,54.5,miguel batista,37.0
1,110683,"batista, miguel",2008,10287,CU,89,89,75.4258426966292,-2.1719101123595506,6.275505617977528,3.901072468933138,-110.62778902095422,-1.24645837139879,4.697426966292135,21.880797752808988,-30.597460674157304,54.5,miguel batista,37.0
2,110683,"batista, miguel",2008,10287,FC,6,6,90.56666666666666,-2.0366666666666666,6.021666666666667,6.288426012536488,-132.625534229443,-3.5284086329157063,-0.49750000000000005,27.09583333333333,-16.729,54.5,miguel batista,37.0
3,110683,"batista, miguel",2008,10287,FF,286,286,92.26398601398601,-1.9182867132867132,5.976258741258741,5.195556859734249,-135.25672503064882,-4.7643321902623175,-4.447132867132867,32.437835664335665,-14.849982517482518,54.5,miguel batista,37.0
4,110683,"batista, miguel",2008,10287,IN,2,2,50.6,-1.3900000000000001,7.635,-0.43339599355223735,-73.71483345538483,7.335296269322351,1.334,10.275,-27.7845,54.5,miguel batista,37.0
5,110683,"batista, miguel",2008,10287,PO,4,4,80.275,-1.8275000000000001,6.19,4.080112376242332,-117.54832670573032,1.6763194518968465,-3.24025,27.12175,-22.04,54.5,miguel batista,37.0
6,110683,"batista, miguel",2008,10287,SI,689,689,92.2388969521045,-2.0873149492017418,5.845050798258345,6.962511306586917,-135.17671048586487,-4.087596592497544,-13.76366618287373,32.523712626995646,-19.204338171262698,54.5,miguel batista,37.0
7,110683,"batista, miguel",2008,10287,SL,791,791,86.82781289506954,-2.191820480404551,6.122389380530973,4.112723880248101,-127.25726920756729,-3.339928912350374,4.568653603034134,27.41628824273072,-25.243201011378,54.5,miguel batista,37.0
8,111492,"brocail, doug",2008,4207,CH,46,46,86.86521739130436,-2.746304347826087,6.6676086956521745,7.738773792776329,-127.06693910306176,-5.589054804383734,-12.427369565217392,26.73089130434783,-21.258891304347827,54.5,doug brocail,
9,111492,"brocail, doug",2008,4207,CU,93,93,77.83333333333333,-2.3365591397849466,6.8999999999999995,4.027400629833491,-114.22191810828261,0.45597259543760615,2.72552688172043,23.873677419354838,-41.425602150537635,54.5,doug brocail,
10,111492,"brocail, doug",2008,4207,FC,258,258,88.79767441860464,-2.4006201550387596,6.782984496124031,5.965103940937386,-129.9833053957131,-5.109374652185207,2.616670542635659,26.860523255813956,-23.617868217054262,54.5,doug brocail,
