,pitcher,player_name,season,season_total_pitches,pitch_type,season_total_count_by_pitch_type,count_by_pitch_type,release_speed_weighted_avg,release_pos_x_weighted_avg,release_pos_z_weighted_avg,vx0_weighted_avg,vy0_weighted_avg,vz0_weighted_avg,ax_weighted_avg,ay_weighted_avg,az_weighted_avg,release_pos_y_weighted_avg,Name,Age
0,110683,"batista, miguel",2011,3944,CH,32,32,83.09375,-1.453125,5.795624999999999,3.385732842243516,-121.69466238001016,-2.0365725507372474,-7.0918125,22.81640625,-26.16496875,54.5,miguel batista,40.0
1,110683,"batista, miguel",2011,3944,CU,7,7,76.88571428571429,-1.6057142857142856,5.911428571428572,2.2690824786126567,-112.60726107755559,-2.271918224215488,6.5128571428571425,18.12442857142857,-32.510285714285715,54.5,miguel batista,40.0
2,110683,"batista, miguel",2011,3944,FC,1,1,89.5,-1.51,5.81,2.9228010228717274,-131.39568641702056,-1.5976121326887815,2.042,28.876,-20.897,54.5,miguel batista,40.0
3,110683,"batista, miguel",2011,3944,FF,233,233,92.5854077253219,-1.4678111587982832,5.773776824034335,4.982364115934605,-135.62844834128947,-4.244347994513386,-4.100909871244635,29.086549356223177,-16.734480686695278,54.5,miguel batista,40.0
4,110683,"batista, miguel",2011,3944,IN,18,18,52.59444444444445,-1.6211111111111112,6.832222222222222,-2.2657642534986637,-76.7612051415216,7.108895011641462,0.8035000000000001,9.425722222222223,-29.46383333333333,54.5,miguel batista,40.0
5,110683,"batista, miguel",2011,3944,PO,1,1,84.6,-1.13,5.97,13.064185046132884,-123.27926453382172,-0.9077235962167324,-6.614,21.063,-18.742,54.5,miguel batista,40.0
6,110683,"batista, miguel",2011,3944,SI,451,451,92.95011086474501,-1.5861862527716186,5.602150776053215,6.391118087669981,-136.1632373077849,-3.6311510566170657,-15.408257206208425,30.152534368070953,-23.088864745011087,54.5,miguel batista,40.0
7,110683,"batista, miguel",2011,3944,SL,239,239,86.53807531380752,-1.7610041841004185,5.753305439330544,3.0456931778402376,-126.7755408237981,-2.3030281681885167,6.070970711297071,23.902330543933054,-28.852857740585772,54.5,miguel batista,40.0
8,112020,"carpenter, chris",2011,18430,CH,83,83,86.16746987951807,-1.6984337349397591,6.016144578313253,4.850235870469472,-126.21554071536751,-3.0300650472589403,-11.366722891566265,24.920481927710846,-27.021831325301203,54.5,chris carpenter,36.0
9,112020,"carpenter, chris",2011,18430,CU,731,731,75.30834473324214,-1.622517099863201,6.1346922024623805,1.0109456909562102,-110.57997710832038,2.6650399277243366,8.72781121751026,22.35951436388509,-43.27003693570451,54.5,chris carpenter,36.0
10,112020,"carpenter, chris",2011,18430,FA,2,2,89.95,-1.485,6.35,5.190302075873139,-131.59586676920298,-5.364111819547665,-9.193999999999999,23.288,-19.109,54.5,chris carpenter,36.0
11,112020,"carpenter, chris",2011,18430,FC,925,925,88.34691891891892,-1.719308108108108,5.951556756756756,4.907915133031332,-129.35772815972405,-3.1316013836637167,1.7742335135135134,24.41938918918919,-26.39464324324324,54.5,chris carpenter,36.0
12,112020,"carpenter, chris",2011,18430,FF,603,603,93.57678275290215,-1.5608126036484244,6.134129353233831,5.787533438676717,-136.99529347772312,-5.121569020384238,-8.219227197346601,29.569222222222226,-17.184212271973465,54.5,chris carpenter,36.0
13,112020,"carpenter, chris",2011,18430,IN,20,20,66.84,-1.7280000000000002,7.117,-0.32253028549568463,-97.86192626827372,2.551065044960231,-4.3218499999999995,16.0533,-25.0128,54.5,chris carpenter,36.0
14,112020,"carpenter, chris",2011,18430,PO,3,3,86.86666666666667,-1.6166666666666665,6.080000000000001,7.405371196601114,-126.9534036518183,0.4027520339751334,-8.717333333333334,26.483,-22.00133333333333,54.5,chris carpenter,36.0
15,112020,"carpenter, chris",2011,18430,SI,1239,1239,92.74729620661823,-1.6593946731234865,6.047941888619855,7.010615536062103,-135.8298172490394,-4.082573960294354,-16.789317998385794,30.06043422114608,-23.92638902340597,54.5,chris carpenter,36.0
16,112526,"colon, bartolo",2011,10432,CH,105,105,83.04476190476191,-1.3091428571428572,5.910952380952381,4.076887219851209,-121.63335537513022,-3.656760931811549,-10.75192380952381,23.80712380952381,-22.943085714285715,54.5,bartolo colon,38.0
17,112526,"colon, bartolo",2011,10432,FF,1036,1036,93.1953667953668,-0.9867374517374518,6.110067567567567,3.8206134472250475,-136.53407575234513,-5.561905064688151,-8.30302027027027,30.583525096525097,-13.501536679536681,54.5,bartolo colon,38.0
18,112526,"colon, bartolo",2011,10432,IN,9,9,73.65555555555555,-0.9022222222222221,7.077777777777778,9.224686382597561,-107.61270896173923,-0.6291654326210154,-4.132555555555555,20.167666666666666,-18.145333333333333,54.5,bartolo colon,38.0
19,112526,"colon, bartolo",2011,10432,PO,2,2,88.2,-1.23,6.21,3.126213249923194,-129.07119758332345,-1.676612506488484,-8.0145,25.75,-15.067,54.5,bartolo colon,38.0
20,112526,"colon, bartolo",2011,10432,SI,1055,1055,91.40587677725118,-1.20860663507109,5.938625592417061,6.180364134479551,-133.9259297302199,-3.7192972566908225,-15.759355450236965,29.09751184834123,-22.497054976303318,54.5,bartolo colon,38.0
21,112526,"colon, bartolo",2011,10432,SL,320,320,84.2790625,-1.2701562499999999,6.0883125,2.0945091454302416,-123.47341888895755,-2.7320419051306186,3.636896875,23.47256875,-29.957734375,54.5,bartolo colon,38.0
22,115629,"hawkins, latroy",2011,1980,CH,8,8,86.21249999999999,-1.12875,6.6274999999999995,3.0319053751354827,-126.27074548424879,-5.046974377960394,-8.32275,25.89425,-21.731625,54.5,latroy hawkins,
23,115629,"hawkins, latroy",2011,1980,CU,92,92,78.08260869565217,-1.1525,6.69086956521739,1.3962995633548625,-114.48759206713903,0.1248400145478957,3.943282608695652,20.678728260869566,-40.848532608695656,54.5,latroy hawkins,
24,115629,"hawkins, latroy",2011,1980,FF,465,465,93.1931182795699,-1.2154623655913979,6.538537634408602,4.904678514572666,-136.4201597361742,-5.955438777478972,-11.013232258064516,28.454518279569893,-16.429913978494625,54.5,latroy hawkins,
25,115629,"hawkins, latroy",2011,1980,IN,1,1,52.7,-0.8,7.96,5.745042866598438,-76.90115297575193,6.005402231116454,-0.869,9.843,-26.77,54.5,latroy hawkins,
26,115629,"hawkins, latroy",2011,1980,SI,5,5,93.22,-1.4120000000000001,6.446000000000001,5.952019935029934,-136.52484733181495,-4.707220760598855,-17.2026,30.5246,-22.7522,54.5,latroy hawkins,
27,115629,"hawkins, latroy",2011,1980,SL,163,163,87.9122699386503,-1.4406134969325153,6.532944785276073,3.741910204374102,-128.66193425290263,-4.831794471483228,3.178779141104294,23.57544785276074,-24.6939509202454,54.5,latroy hawkins,
28,115817,"hernandez, livan",2011,14130,CH,261,261,78.1536398467433,-1.474750957854406,5.893831417624521,3.6168649549809957,-114.6054217174069,-1.7826571177628525,-9.31739846743295,21.783260536398465,-27.50714559386973,54.5,livan hernandez,36.0
29,115817,"hernandez, livan",2011,14130,CU,400,400,66.78649999999999,-1.563175,5.828925000000001,0.6909875004554084,-97.99161876997375,4.126969998516279,8.714035,17.416315,-37.1764075,54.5,livan hernandez,36.0
30,115817,"hernandez, livan",2011,14130,FF,349,349,84.28481375358166,-1.2513180515759312,6.197363896848138,4.642902815971555,-123.44135101452886,-3.611254069404596,-7.801822349570201,24.177063037249283,-20.392951289398283,54.5,livan hernandez,36.0
31,115817,"hernandez, livan",2011,14130,IN,24,24,68.14583333333333,-1.3945833333333333,7.041250000000001,0.9444397868123678,-99.74065981601575,2.8400553322088284,-4.162166666666667,16.895208333333333,-23.376375,54.5,livan hernandez,36.0
32,115817,"hernandez, livan",2011,14130,PO,2,2,77.35,-1.29,6.645,6.0640602815505265,-113.21464833030666,-0.4672541729076878,-8.780000000000001,23.034,-19.8245,54.5,livan hernandez,36.0
33,115817,"hernandez, livan",2011,14130,SI,931,931,84.48023630504834,-1.3331901181525243,6.064124597207304,5.884380434897592,-123.72468463076868,-3.2487733415066162,-12.81535016111708,25.11774650912997,-22.70307948442535,54.5,livan hernandez,36.0
34,115817,"hernandez, livan",2011,14130,SL,721,721,79.46005547850207,-1.4378224687933427,5.898432732316227,3.845592938445818,-116.40792583193023,-1.4820458566841386,2.3672149791955617,21.047160887656034,-27.550624133148403,54.5,livan hernandez,36.0
35,116414,"isringhausen, jason",2011,2867,CH,1,1,84.6,-2.22,6.12,5.8919847435289,-123.81387691208124,-2.763721438680631,-11.986,21.062,-32.456,54.5,jason isringhausen,
36,116414,"isringhausen, jason",2011,2867,CU,187,187,77.55828877005348,-1.4936898395721925,6.387058823529412,1.2687624030122902,-113.89457059634991,2.936598526478051,7.490962566844919,23.83311764705882,-45.76834224598931,54.5,jason isringhausen,
37,116414,"isringhausen, jason",2011,2867,FC,252,252,89.32698412698413,-1.5436507936507937,6.2491666666666665,4.023572534074047,-130.83709572320996,-4.288989915160253,3.749071428571429,26.07728571428571,-21.33731349206349,54.5,jason isringhausen,
38,116414,"isringhausen, jason",2011,2867,FF,268,268,90.99067164179104,-1.568320895522388,6.19089552238806,4.229277734057272,-133.3411666583361,-4.631447897105613,-3.09775,28.641753731343282,-15.40348880597015,54.5,jason isringhausen,
39,116414,"isringhausen, jason",2011,2867,IN,7,7,53.271428571428565,-1.552857142857143,7.392857142857143,-4.366862063529855,-77.86676634569308,7.5463353086152285,-0.8715714285714286,10.988142857142858,-27.56714285714286,54.5,jason isringhausen,
40,116414,"isringhausen, jason",2011,2867,SI,95,95,91.04736842105264,-1.6242105263157895,6.233578947368421,4.533962584094277,-133.42203224715743,-4.884995498437322,-11.041442105263156,28.73236842105263,-17.379052631578947,54.5,jason isringhausen,
41,117955,"lowe, derek",2011,13333,CH,490,490,83.70367346938777,-2.623183673469388,5.670673469387755,7.25333082410394,-122.50118271959938,-1.6859947910016493,-11.903302040816325,23.608985714285716,-32.54949591836735,54.5,derek lowe,38.0
42,117955,"lowe, derek",2011,13333,FC,284,284,86.00176056338029,-2.611584507042253,5.623661971830987,7.136087036711858,-125.82075891991819,-2.2464752896489686,-3.035401408450704,23.25799295774648,-25.50732042253521,54.5,derek lowe,38.0
43,117955,"lowe, derek",2011,13333,IN,13,13,81.9076923076923,-2.8400000000000003,6.0307692307692315,2.3094608137864823,-119.86047726469921,1.717872669841909,-7.856153846153846,21.60423076923077,-23.885461538461534,54.5,derek lowe,38.0
44,117955,"lowe, derek",2011,13333,PO,1,1,84.2,-2.32,5.69,15.007416929792145,-122.62277380649977,2.552971520411669,-10.032,22.778,-25.499,54.5,derek lowe,38.0
45,117955,"lowe, derek",2011,13333,SI,1604,1604,88.5068578553616,-2.589320448877806,5.6822443890274315,8.98907035389658,-129.51778707164186,-2.194694168832319,-16.372844139650873,26.75106421446384,-30.41210037406484,54.5,derek lowe,38.0
46,117955,"lowe, derek",2011,13333,SL,826,826,80.87881355932203,-2.671138014527845,5.602348668280872,5.776062830701228,-118.38500627129983,0.006843890095878228,2.0379866828087168,21.53105205811138,-34.55954963680388,54.5,derek lowe,38.0
47,119154,"millwood, kevin",2011,5452,CH,37,37,82.1108108108108,-2.755135135135135,6.3440540540540535,6.862933458959693,-120.06361097137432,-3.2934080737837763,-9.30308108108108,21.331675675675676,-24.30972972972973,54.5,kevin millwood,36.0
48,119154,"millwood, kevin",2011,5452,CU,68,68,72.325,-2.5985294117647055,6.393235294117647,3.167689983370136,-105.97776122280092,1.7916819583198227,4.812588235294118,17.728279411764706,-40.361279411764706,54.5,kevin millwood,36.0
49,119154,"millwood, kevin",2011,5452,FC,130,130,89.2,-2.4711538461538463,6.602769230769231,6.755737522873353,-130.51507667564036,-3.67293270338269,0.7062538461538461,24.535376923076925,-20.941869230769232,54.5,kevin millwood,36.0
50,119154,"millwood, kevin",2011,5452,FF,296,296,89.63513513513513,-2.501858108108108,6.604087837837838,7.516494430293954,-131.0840703145562,-4.599638525432678,-7.766405405405406,24.41645945945946,-20.405087837837836,54.5,kevin millwood,36.0
