,pitcher,player_name,season,season_total_pitches,pitch_type,season_total_count_by_pitch_type,count_by_pitch_type,release_speed_weighted_avg,release_pos_x_weighted_avg,release_pos_z_weighted_avg,vx0_weighted_avg,vy0_weighted_avg,vz0_weighted_avg,ax_weighted_avg,ay_weighted_avg,az_weighted_avg,release_pos_y_weighted_avg,Name,Age
0,112526,"colon, bartolo",2014,12322,CH,169,169,81.98224852071006,-1.3680473372781063,5.746213017751479,4.308326939425952,-120.12469333092282,-3.071392000142853,-10.751508875739646,24.318224852071005,-24.6796449704142,54.5,bartolo colon,41.0
1,112526,"colon, bartolo",2014,12322,FF,856,856,91.2966121495327,-0.9839953271028037,5.965992990654206,3.258272651111836,-133.8732154009388,-4.778564121432086,-7.6968165887850475,30.512959112149534,-16.409695093457945,54.5,bartolo colon,41.0
2,112526,"colon, bartolo",2014,12322,IN,12,12,77.45833333333333,-1.5783333333333331,6.704166666666667,1.3275216079356305,-113.54585409290296,1.362851469210394,-4.324000000000001,22.426583333333337,-23.358083333333337,54.5,bartolo colon,41.0
3,112526,"colon, bartolo",2014,12322,SI,1604,1604,88.2846633416459,-1.360436408977556,5.729395261845387,6.062266841670322,-129.40723025412316,-2.4375387915786506,-14.784559850374066,28.45899812967581,-24.712447630922696,54.5,bartolo colon,41.0
4,112526,"colon, bartolo",2014,12322,SL,368,368,82.93342391304348,-1.4928804347826088,5.816059782608695,2.996842186074099,-121.51300698533801,-1.7784569877828142,2.5015054347826085,23.27684239130435,-30.19053260869565,54.5,bartolo colon,41.0
5,115629,"hawkins, latroy",2014,2372,CH,9,9,83.88888888888889,-1.3833333333333333,6.444444444444445,3.6082953706628462,-122.84060622343992,-4.1637497546949955,-7.039444444444445,23.817666666666668,-22.427888888888887,54.5,latroy hawkins,
6,115629,"hawkins, latroy",2014,2372,CU,65,65,78.76461538461538,-1.579076923076923,6.462923076923078,2.6361376514838364,-115.39437661470228,-0.39541686482830957,3.811046153846154,19.55286153846154,-38.601046153846156,54.5,latroy hawkins,
7,115629,"hawkins, latroy",2014,2372,FF,606,606,93.78993399339933,-1.5100330033003302,6.308663366336634,5.589259733327596,-137.24839384291394,-5.04472217460011,-10.842958745874586,27.468521452145215,-19.58595709570957,54.5,latroy hawkins,
8,115629,"hawkins, latroy",2014,2372,IN,6,6,75.5,-1.5350000000000001,7.135000000000001,4.58447402798176,-110.29599349043907,1.8425771527951846,-5.069333333333334,16.712,-26.298000000000002,54.5,latroy hawkins,
9,115629,"hawkins, latroy",2014,2372,PO,2,2,86.6,-1.315,6.665,8.537398878781364,-126.5821345393987,1.95760735285462,-7.709,22.022,-25.957,54.5,latroy hawkins,
10,115629,"hawkins, latroy",2014,2372,SI,7,7,93.52857142857144,-1.6500000000000001,6.225714285714285,5.174398533041418,-136.9597347776614,-3.1530459789081395,-14.522,27.892857142857142,-25.503000000000004,54.5,latroy hawkins,
11,115629,"hawkins, latroy",2014,2372,SL,132,132,88.35833333333333,-1.6828030303030304,6.33560606060606,5.0371851162446974,-129.3006636256629,-4.164517598381124,3.3752500000000003,23.99044696969697,-26.99834090909091,54.5,latroy hawkins,
12,124604,"wright, jamey",2014,4796,CH,107,107,83.84579439252336,-3.149158878504673,6.10392523364486,9.211183048275759,-122.53265833859662,-2.486874010132353,-11.952757009345794,22.972158878504672,-30.730644859813086,54.5,jamey wright,39.0
13,124604,"wright, jamey",2014,4796,CU,220,220,78.70363636363636,-2.8605909090909094,6.4245,3.37023780336984,-115.51488739203701,0.6361907223654594,10.302245454545455,24.846595454545454,-41.92596363636363,54.5,jamey wright,39.0
14,124604,"wright, jamey",2014,4796,FC,451,451,88.46585365853659,-2.760354767184036,6.483037694013303,6.478972815219757,-129.44834355300677,-3.8811675676493227,2.0106141906873614,24.729840354767184,-25.794037694013305,54.5,jamey wright,39.0
15,124604,"wright, jamey",2014,4796,FF,4,4,92.825,-2.68,6.4,7.353585530450692,-135.8866025244372,-4.9123353525465445,-5.74275,26.881,-19.6575,54.5,jamey wright,39.0
16,124604,"wright, jamey",2014,4796,IN,13,13,79.11538461538461,-3.1469230769230765,6.820769230769231,5.137220491620282,-115.86823848017397,-0.21050332228993546,-8.154,21.96853846153846,-21.592076923076924,54.5,jamey wright,39.0
17,124604,"wright, jamey",2014,4796,SI,260,260,91.12692307692308,-2.8575000000000004,6.348346153846154,9.563917361550793,-133.22165003861056,-5.246213865313133,-15.386919230769232,27.33838846153846,-22.8304,54.5,jamey wright,39.0
18,124604,"wright, jamey",2014,4796,SL,32,32,83.190625,-2.7790625,6.455625,4.571114495847032,-121.83414613908077,-1.8374294140022693,7.7487812499999995,23.5241875,-31.8456875,54.5,jamey wright,39.0
19,136600,"chen, bruce",2014,5522,CH,169,169,75.75029585798818,2.323905325443787,6.050118343195265,-6.227439853170997,-110.90082599314475,-2.4674048043119896,9.672041420118344,18.866686390532543,-23.96269822485207,54.5,bruce chen,37.0
20,136600,"chen, bruce",2014,5522,CU,88,88,73.78863636363637,2.4042045454545455,6.225113636363636,-3.314267098481612,-108.19170780082628,2.2273025643221156,-4.174352272727273,18.665136363636364,-37.99585227272728,54.5,bruce chen,37.0
21,136600,"chen, bruce",2014,5522,EP,35,35,69.64285714285714,3.1568571428571426,5.524571428571428,-4.148309552560295,-102.08891821533969,4.507422541361976,-9.194142857142857,19.22182857142857,-38.37945714285714,54.5,bruce chen,37.0
22,136600,"chen, bruce",2014,5522,FF,91,91,86.44505494505495,2.24956043956044,5.937472527472527,-7.375185700283057,-126.56163718184528,-3.2700334594125393,11.113912087912087,26.055802197802198,-15.691186813186812,54.5,bruce chen,37.0
23,136600,"chen, bruce",2014,5522,IN,4,4,61.95,2.755,6.2975,2.5759571464264956,-90.87282869907023,4.805484511508769,4.86525,14.74775,-24.75375,54.5,bruce chen,37.0
24,136600,"chen, bruce",2014,5522,SI,279,279,84.31612903225806,2.6067025089605735,5.6735842293906815,-9.095020352137785,-123.29804651526783,-2.6154690133441347,13.868035842293908,24.421910394265232,-18.843763440860215,54.5,bruce chen,37.0
25,136600,"chen, bruce",2014,5522,SL,294,294,81.82448979591837,2.343707482993197,6.057687074829932,-5.968850079663211,-119.70307163609023,-1.9387299953227854,-0.9098673469387755,20.852231292517004,-25.153180272108845,54.5,bruce chen,37.0
26,150116,"wolf, randy",2014,2960,CH,64,64,77.559375,2.2725,6.10234375,-6.0647189158108015,-113.65897455486358,-2.500880400622512,10.25728125,21.456984375,-21.688125,54.5,randy wolf,37.0
27,150116,"wolf, randy",2014,2960,CU,99,99,69.3020202020202,2.131010101010101,6.350808080808081,-3.2722785469234292,-101.64925862944065,3.155906687002511,-3.1204747474747476,18.91421212121212,-40.99117171717172,54.5,randy wolf,37.0
28,150116,"wolf, randy",2014,2960,EP,2,2,55.8,2.015,6.46,-1.627683996101348,-81.81841005641654,5.571395887835282,-2.5300000000000002,12.246500000000001,-37.973,54.5,randy wolf,37.0
29,150116,"wolf, randy",2014,2960,FC,31,31,86.50645161290323,2.2516129032258063,6.128709677419355,-6.612485512083702,-126.61189941585724,-4.4531002011920515,3.7443225806451617,24.537096774193547,-15.795451612903225,54.5,randy wolf,37.0
30,150116,"wolf, randy",2014,2960,FF,122,122,88.25,2.2236885245901643,6.134836065573771,-7.221023204296119,-129.14431331308094,-5.140508801117955,8.304696721311476,26.725754098360657,-15.401401639344263,54.5,randy wolf,37.0
31,150116,"wolf, randy",2014,2960,SI,138,138,88.2123188405797,2.262971014492754,6.152391304347826,-7.4123232164279464,-129.1183836908649,-4.9752751851573995,13.439297101449275,27.156884057971016,-16.826811594202898,54.5,randy wolf,37.0
32,150116,"wolf, randy",2014,2960,SL,59,59,80.62372881355932,2.2559322033898304,6.2325423728813565,-5.75458928164215,-118.0344784128329,-1.6186514167536625,-1.954,22.25113559322034,-31.577610169491525,54.5,randy wolf,37.0
33,150274,"nathan, joe",2014,4353,CH,15,15,86.95333333333333,-2.012,6.534666666666666,4.833298003963476,-127.33440252621449,-4.801743718171506,-10.752133333333331,26.00926666666667,-21.628466666666668,54.5,joe nathan,
34,150274,"nathan, joe",2014,4353,CU,149,149,82.35436241610738,-1.900201342281879,6.78751677852349,2.789011948393318,-120.59389916365423,-1.9956009171978557,3.712248322147651,21.142261744966444,-34.77648993288591,54.5,joe nathan,
35,150274,"nathan, joe",2014,4353,FC,5,5,91.66,-1.9440000000000002,6.714,4.926085297636119,-134.25327276913495,-5.698832075705658,2.2564,28.219399999999997,-12.5636,54.5,joe nathan,
36,150274,"nathan, joe",2014,4353,FF,421,421,92.26128266033254,-1.9531828978622328,6.649406175771972,5.484520004713338,-135.06129338409963,-6.797411774455716,-6.124448931116389,29.293653206650834,-12.662016627078385,54.5,joe nathan,
37,150274,"nathan, joe",2014,4353,IN,8,8,82.08749999999999,-2.31375,6.7225,4.456900532353283,-119.99599752575257,-1.5699019085091244,-5.983874999999999,21.971875,-21.464375,54.5,joe nathan,
38,150274,"nathan, joe",2014,4353,SI,149,149,91.96577181208053,-2.202013422818792,6.426577181208054,6.152933367310763,-134.63361281554577,-5.7116447979346425,-14.931080536912754,27.714926174496647,-21.11492617449664,54.5,joe nathan,
39,150274,"nathan, joe",2014,4353,SL,315,315,86.96000000000001,-2.090730158730159,6.510222222222222,5.366554771889241,-127.20562600326662,-5.207914502124632,3.6836,24.050755555555558,-26.830333333333336,54.5,joe nathan,
